investor_uuid,investor_name,avg_likelihood
0066571e-9ff0-3f58-0529-1e6533841792,i/o Ventures,0.3333333333333333
0066b70a-6516-f1ba-cb49-95b1bd5ceebd,Global H2O Investments,0.0
006909ee-659a-6c11-ec43-630418eeb275,Natalie McCullough,0.3333333333333333
0069fc90-fe23-7b47-b70f-6a5f899c2898,ICICI Prudential Mutual Fund,0.0
006a21fd-4cdc-437e-927d-069c93e2fb24,Jerry Pruttz Holding Ab,0.125
006a6cab-c911-d1de-70d3-dbe4c0573fbd,Texcel International,1.0
006b449a-5a0a-856e-bfdc-07f784aff382,Mesirow Financial,0.2610449735449735
006c4fe1-579a-166e-a5b3-cd6261705523,Richard Lumb,0.14285714285714285
006d0b80-23fd-e6d6-b916-1fb3e39ecdee,Service Management Group,0.0
00703500-a2ab-4899-fb4d-2af26609bd79,Kris Lichter,0.25
0071b342-d5fb-31c6-e1f4-c647f12be391,John Higgins,0.0
00735871-6e7b-dae2-4789-1d6096c490ef,Steven Sinofsky,0.34761904761904766
00737ec6-337f-9fed-91d7-4a406bfcabf9,Dorsey Wright and Associates,0.0
00744f0e-2a23-db04-0507-9417a719da13,Elm Street Ventures,0.2
00745d13-b7e7-ba57-9303-8eec2f2da31a,Michiel Muller,0.0
007bb0d9-331e-a161-610a-eb4052143b3c,Centre for Drug Design & Discovery (CD3),0.0
007c0c3e-ba28-04af-210d-41ed5511a2e4,Michael Gamson,0.041666666666666664
007c6a50-bcf1-4418-8876-f748350c39f3,Berke Bakay,0.2
007f5c9f-d6ce-3779-9f3d-181bdde41b3b,VenturesLab,0.16527777777777777
007fe159-e7a5-2783-2a4c-03ef6676e9ea,Jerry Rice,0.0
0080a73c-0fe2-cc25-83f1-534183f2d080,Siddharth Patil,0.0
008125e1-a58b-cca0-5a39-e382c836ba2f,Think Tank Mobile,0.4
00812ee6-2cdd-72be-a91a-810b83c46bf3,True North Venture Partners,0.020833333333333332
00824791-eba1-5be1-c9e1-e28160a13d8e,Crohn's & Colitis Foundation of America,0.0
0082d982-e1cf-45c9-b71a-d3b7d6480370,Chongqing Industry Investment Fund,0.5
00835d51-731b-4470-77f0-65b5715fb9a6,Luis Robles,0.0
008385df-2b82-751c-dfa5-81208a6a7c77,Dixon Jones,0.2625
008468bb-7d58-c22f-aa78-e186be0af307,Alco Investment,0.3333333333333333
00847db3-f15b-50bb-1d7e-5187c1d9a3bf,Meridian Growth Capital,0.0736111111111111
00856d70-07ae-25ae-6f98-662538e7dee2,Eric Stromberg,0.0
00860567-3452-3656-2fea-e9ea74ef3442,David Calvert-Jones,0.16666666666666666
00861820-9247-5602-54a2-fde88ef93fb7,Sergio Papini,0.16666666666666666
00874c24-34c2-6bbe-d694-7ba38d3b56b6,Sercel,0.3333333333333333
00882f26-f88a-1a4a-86d8-e26c4da1b0ee,Boulder Brands,0.0
008a30c1-cd31-9886-7672-197e74e59ea3,Andreas Arntzen,0.0
008c3f64-4599-ceca-86a5-4d656f6dca9e,Nogales Investors Management,0.0
00902f1b-211e-2f6e-c59b-dfcc5fda0cbd,Davy EII Tax Relief Fund 2015,0.25
00916069-735e-4369-bf2f-9dae3e925bef,Vinay Arora,0.25
00919d89-c075-e5d9-f6ce-9e5874a884d4,Obic Business Consultants,0.0
00926072-ec22-e90b-6868-48eb14518d22,Paxion Capital Partners,0.08333333333333333
00930438-6c7f-e5bd-614c-0cfcefdf9f1c,Black Pearls VC,0.03571428571428571
0093ab42-03ec-4ef7-97ce-64de4a50cce1,Ylvas Investments,0.3333333333333333
0096414e-e89f-410e-c5f3-ad1972eb8017,Gerald Trooien,0.5
00964dc3-a57d-4de4-8d90-f95f9823ae17,William Anderson,0.375
0096da10-0842-4d67-876b-53d2f3040372,Mingde Holdings,0.0
0096f8a4-f373-8d89-de7e-53194c7d3660,Ingro Finanz AG,0.6666666666666666
0097c5e1-3a3b-6eca-7796-c1a0bbbc8331,Walter Wilkie,0.5
009911aa-708d-dffc-b16f-85c3bedc013d,Suzhou VC,0.0
0099cd36-1a6a-4d56-fcc3-a90ec82db0bf,Paul Hoffman,0.2857142857142857
009a42f0-caf2-abb3-b39e-dbd9f409e8da,LBBW Asset Management,0.0
